station_id,station_name,location,crs1,lat1,lon1,crs2,lat2,lon2,distance_meters
C2K610,草嶺石壁,雲林縣古坑鄉,TWD97,23.604239,120.699612,WGS84,23.602469,120.707731,851.5071339125112
C2F990,摩天嶺,臺中市和平區,TWD97,24.324225,120.928649,WGS84,24.322458,120.936819,852.0060174538195
C2M920,朴子農改,嘉義縣朴子市,TWD97,23.47164,120.251277,WGS84,23.469889,120.259383,850.5403268622462
C2M620,瑞里,嘉義縣梅山鄉,TWD97,23.546903,120.667039,WGS84,23.545133,120.675197,855.7327534702026
C2A660,瑞芳,新北市瑞芳區,TWD97,25.114861,121.792639,WGS84,25.113169,121.801147,878.3206142186351
C2A650,火燒寮,新北市平溪區,TWD97,25.004411,121.734572,WGS84,25.002719,121.742892,860.5396351279983
C2H9W0,大坪頂農水,南投縣埔里鎮,TWD97,24.044894,120.92463,WGS84,24.043122,120.932781,852.0098158748405
C2K620,馬光農場,雲林縣虎尾鎮,TWD97,23.723205,120.370739,WGS84,23.721453,120.378864,850.9171020725508
C2FB50,出雲,臺中市和平區,TWD97,24.208236,120.894632,WGS84,24.206469,120.902794,851.9470805393379
C2FB60,頭櫃山,臺中市新社區,TWD97,24.131608,120.850769,WGS84,24.129842,120.858925,851.8093896125812
C2H9D0,三隻寮,南投縣國姓鄉,TWD97,24.094845,120.853424,WGS84,24.093078,120.861578,851.867160239642
C2H9E0,國姓南港,南投縣國姓鄉,TWD97,23.912878,120.838415,WGS84,23.911108,120.846556,851.7897980415626
C2H9F0,柑林,南投縣國姓鄉,TWD97,24.020426,120.838924,WGS84,24.018658,120.847072,851.7634799332363
C2H9G0,百勝,南投縣國姓鄉,TWD97,24.052912,120.90121,WGS84,24.051142,120.909361,851.9087551797477
C2M930,石卓,嘉義縣竹崎鄉,TWD97,23.480516,120.694154,WGS84,23.478744,120.702264,851.4174429651721
C2M940,日野賀,嘉義縣阿里山鄉,TWD97,23.435829,120.719062,WGS84,23.434056,120.727169,851.4157507527533
C2M950,太和,嘉義縣梅山鄉,TWD97,23.540143,120.694847,WGS84,23.538372,120.702961,851.4268838936246
C2K630,荷苞,雲林縣古坑鄉,TWD97,23.65948,120.587023,WGS84,23.657717,120.595144,851.1896333661782
C2H9H0,苗改南投蜂場,南投縣名間鄉,TWD97,23.854353,120.685345,WGS84,23.852589,120.693481,851.5039329770453
C2G9A0,畜試所彰化,彰化縣北斗鎮,TWD97,23.862208,120.549828,WGS84,23.86045,120.557964,851.3030883713202
C2E970,八甲,苗栗縣苗栗市,TWD97,24.537566,120.787798,WGS84,24.535811,120.795983,851.8258436235443
C2H9J0,中台,南投縣埔里鎮,TWD97,24.001373,120.930591,WGS84,23.9996,120.938739,852.0096928868835
C2H9L0,馬烈霸,南投縣仁愛鄉,TWD97,24.152982,121.193613,WGS84,24.1512,121.201772,852.3807835161074
C2H9M0,發祥,南投縣仁愛鄉,TWD97,24.155875,121.156357,WGS84,24.154094,121.164517,852.4358636750154
C2H9N0,仁愛東眼,南投縣仁愛鄉,TWD97,24.028656,121.112349,WGS84,24.026875,121.1205,852.3413073546349
C2H9P0,伊拿谷,南投縣仁愛鄉,TWD97,23.964991,121.080118,WGS84,23.963211,121.088264,852.2170890283605
C2H9Q0,北東眼山,南投縣仁愛鄉,TWD97,24.122721,121.181145,WGS84,24.120939,121.189303,852.4715778734612
C2H9R0,卓社,南投縣仁愛鄉,TWD97,23.889672,120.991946,WGS84,23.887894,121.000086,852.0389184344594
C2H9S0,龍南,南投縣國姓鄉,TWD97,23.955305,120.825039,WGS84,23.953536,120.833183,851.7981378666387
C2R970,屏科大,屏東縣內埔鄉,TWD97,22.65006,120.611193,WGS84,22.648275,120.619247,851.1075067224695
C2H9T0,名間竹圍,南投縣名間鄉,TWD97,23.861675,120.629436,WGS84,23.859914,120.637572,851.3824530462856
C2H9U0,鳳鵬,南投縣鹿谷鄉,TWD97,23.76569,120.779931,WGS84,23.763919,120.788061,851.6342693682891
CAF010,國一N174K,臺中市西屯區,TWD97,24.206657,120.647035,WGS84,24.2049,120.6552,851.9999274587076
CAG010,國一N198K,彰化縣彰化市,TWD97,24.065639,120.514899,WGS84,24.063889,120.523056,851.916316951455
